symbol,time,exchange,ceiling_price,floor_price,reference_price,open_price,high_price,low_price,close_price,average_price,total_trades,total_value,price_change,percent_change,bid_price_1,bid_vol_1,bid_price_2,bid_vol_2,bid_price_3,bid_vol_3,ask_price_1,ask_vol_1,ask_price_2,ask_vol_2,ask_price_3,ask_vol_3,foreign_buy_volume,foreign_sell_volume
VCB,1773045152319,HOSE,65900,57300,61600,57400,59700,57300,57300,57471,29396000,1689422110000,-4300,-6.98051948051948,57300.0,518700,0,0,0,0,57400.0,196700,57500,11400,57600,24400,4143010,783779459
VHM,1773045153519,HOSE,101600,88400,95000,88500,91100,88400,88400,88483,17232900,1524817650000,-6600,-6.947368421052631,,0,0,0,0,0,88400.0,677200,88500,35300,88600,500,1345012,1725536204
VNM,1773045155021,HOSE,66700,58100,62400,59000,59100,58100,58100,58251,18046300,1051206820000,-4300,-6.891025641025641,,0,0,0,0,0,58100.0,1402400,58200,14900,58300,41500,5090999,1071657429
BID,1773045182633,HOSE,46550,40550,43550,40550,41000,40550,40550,40568,6134800,248878700000,-3000,-6.8886337543053955,,0,0,0,0,0,40550.0,5704700,40600,92300,40650,42800,202851,888800882
CTG,1773045185936,HOSE,38100,33200,35650,33200,33500,33200,33200,33206,17770800,590105640000,-2450,-6.872370266479663,,0,0,0,0,0,33200.0,10305300,33250,65700,33300,26900,73162,364040841
HPG,1773045194338,HOSE,29150,25350,27250,25500,26150,25350,25350,25419,120981900,3075221115000,-1900,-6.972477064220184,,0,0,0,0,0,25350.0,13405400,25400,566200,25450,282400,5098965,2037616467
