symbol,time,exchange,ceiling_price,floor_price,reference_price,open_price,high_price,low_price,close_price,average_price,total_trades,total_value,price_change,percent_change,bid_price_1,bid_vol_1,bid_price_2,bid_vol_2,bid_price_3,bid_vol_3,ask_price_1,ask_vol_1,ask_price_2,ask_vol_2,ask_price_3,ask_vol_3,foreign_buy_volume,foreign_sell_volume
BID,1773631147066,HOSE,43450,37850,40650,40500,41200,40500,40650,40699,1283400,52233070000,0,0.0,40600.0,202500,40550,101500,40500,135700,40650.0,10600,40700,16500,40750,35800,110200,894955547
VNM,1773631147090,HOSE,67500,58700,63100,62600,62900,62000,62000,62394,708100,44181350000,-1100,-1.7432646592709984,62000.0,37300,61900,8300,61800,27100,62100.0,7900,62200,1000,62300,4300,53800,1067956614
VCB,1773631148845,HOSE,63100,54900,59000,59300,59800,58800,59000,59142,1162400,68747110000,0,0.0,59000.0,108200,58900,81200,58800,143100,59100.0,16100,59200,23900,59300,13600,126300,790904121
HPG,1773631149818,HOSE,28500,24800,26650,26650,26950,26550,26650,26744,6652500,177916940000,0,0.0,26650.0,298500,26600,314900,26550,653700,26700.0,147000,26750,213900,26800,300600,564818,2031508279
CTG,1773631150365,HOSE,36350,31650,34000,34050,34500,34000,34200,34206,1796100,61438150000,200,0.5882352941176471,34200.0,28400,34150,62400,34100,77500,34250.0,7200,34300,31000,34350,21100,113100,366216538
VHM,1773631150371,HOSE,104800,91200,98000,98000,102400,96900,101200,100100,1599600,160120190000,3200,3.2653061224489797,101100.0,900,101000,71000,100900,20000,101200.0,1400,101300,600,101400,3600,200800,1733675633
