time,open,high,low,close,volume,symbol,return_1,log_return_1,ma_5,return_5,volatility_5,ma_10,return_10,volatility_10,ma_21,return_21,volatility_21,lag_logret_1,lag_logret_2,lag_logret_3,lag_logret_4,lag_logret_5,mom_5,vol_change,vol_ma_5,rsi_14,macd,macd_signal,dayofweek,month,day
2023-12-12,33.92,34.37,33.67,34.25,957886,BID,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,12,12
2023-12-12,18.45,18.52,18.31,18.52,3347258,CTG,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,12,12
2023-12-12,20.83,21.36,20.83,21.17,31693150,HPG,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,12,12
2023-12-12,56.25,56.25,55.78,55.92,1007855,VCB,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,12,12
2023-12-12,41.0,41.3,40.75,41.05,6171848,VHM,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,12,12
2023-12-12,60.68,60.76,59.81,60.16,2791599,VNM,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,12,12
2023-12-13,34.25,34.33,33.18,34.0,794504,BID,-0.007299270072992692,-0.0073260400920727164,,,,,,,,,,,,,,,,-0.17056518207803428,,,-0.019943019943021056,-0.003988603988604212,2,12,13
2023-12-13,18.62,18.76,18.31,18.35,3631524,CTG,-0.00917926565874716,-0.009221654717453731,,,,,,,,,,,,,,,,0.08492503416229047,,,-0.013561253561256592,-0.0027122507122513185,2,12,13
2023-12-13,21.29,21.36,20.68,20.72,33356819,HPG,-0.021256495040151258,-0.021485667755491544,,,,,,,,,,,,,,,,0.05249301505214854,,,-0.03589743589743577,-0.007179487179487154,2,12,13
2023-12-13,55.92,56.12,55.58,55.58,1154515,VCB,-0.006080114449213192,-0.006098673611196759,,,,,,,,,,,,,,,,0.14551696424584892,,,-0.02712250712250608,-0.005424501424501216,2,12,13
2023-12-13,41.2,41.65,40.65,40.75,9943249,VHM,-0.0073081607795371095,-0.007334996211565414,,,,,,,,,,,,,,,,0.6110651137228267,,,-0.023931623931630952,-0.004786324786326191,2,12,13
